time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,windspeed_10m,winddirection_10m,aqi,hour,day,month,year,weekday,is_weekend,aqi_change,aqi_pct_change,aqi_lag1,aqi_lag2,aqi_lag3,aqi_roll3,aqi_roll6,aqi_roll24
2025-04-20 03:00:00,130.39999999999998,44.25,173.0,5.9,6.1,88.0,26.5,71.0,20.8,28.9,1004.3,12.5,297,147.35,3,20,4,2025,6,1,0.0,0.0,147.35,147.35,126.60344827586206,147.35,142.1633620689655,142.1633620689655
2025-04-20 04:00:00,130.39999999999998,44.25,167.0,6.1,6.2,80.0,26.0,73.0,20.8,28.7,1004.4,10.8,314,147.35,4,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,143.20068965517243,143.20068965517243
2025-04-20 05:00:00,130.39999999999998,44.25,258.0,8.2,6.8,76.0,25.5,73.0,20.4,28.2,1004.7,9.3,328,147.35,5,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,143.89224137931035,143.89224137931035
2025-04-20 06:00:00,130.39999999999998,44.25,556.0,14.3,8.4,67.0,25.5,78.0,21.4,28.8,1005.2,8.4,318,147.35,6,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,147.35,144.38620689655173
2025-04-20 07:00:00,130.39999999999998,44.25,556.0,22.6,10.8,56.0,25.7,69.0,19.5,28.1,1005.8,8.2,322,144.05503355704698,7,20,4,2025,6,1,-3.2949664429530117,-0.022361496049901675,147.35,147.35,147.35,146.251677852349,146.8008389261745,144.34481022911362
2025-04-20 08:00:00,130.39999999999998,44.25,556.0,26.7,13.2,56.0,28.1,50.0,16.7,29.4,1006.6,7.3,318,138.14161073825505,8,20,4,2025,6,1,-5.913422818791929,-0.04104974795240435,144.05503355704698,147.35,147.35,143.18221476510067,145.26610738255033,143.65556584124045
2025-04-20 09:00:00,130.39999999999998,44.25,556.0,22.9,16.1,80.0,32.1,38.5,7.3,30.3,1007.4,7.5,325,142.79261744966442,9,20,4,2025,6,1,4.651006711409366,0.03366839786038045,138.14161073825505,144.05503355704698,147.35,141.66308724832214,144.50654362416108,143.56927100208287
2025-04-20 10:00:00,130.39999999999998,44.25,556.0,15.1,19.1,115.0,35.1,38.5,-0.1,32.4,1007.9,8.4,317,147.35,10,20,4,2025,6,1,4.557382550335575,0.031916093644982046,142.79261744966442,138.14161073825505,144.05503355704698,142.76140939597315,144.50654362416108,143.91297363825714
2025-04-20 11:00:00,130.39999999999998,43.7,271.0,8.7,20.4,135.5,35.45,38.5,-2.0,35.1,1007.8,7.6,301,147.35,11,20,4,2025,6,1,0.0,0.0,147.35,142.79261744966442,138.14161073825505,145.83087248322147,144.50654362416105,144.1993925017357
2025-04-20 12:00:00,130.39999999999998,37.4,192.0,5.7,18.4,135.5,35.45,38.5,-2.2,36.8,1007.3,7.6,277,147.35,12,20,4,2025,6,1,0.0,0.0,147.35,147.35,142.79261744966442,147.35,144.50654362416108,144.4417469246791
2025-04-20 13:00:00,130.39999999999998,37.0,213.0,4.1,14.7,135.5,35.45,38.5,-1.6,37.2,1006.5,11.0,267,147.35,13,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,145.05570469798656,144.64947928720204
2025-04-20 14:00:00,130.39999999999998,39.6,242.0,3.7,12.1,135.5,35.45,38.5,-0.9,36.6,1005.9,14.3,263,147.35,14,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,146.59043624161072,144.82951400138856
2025-04-20 15:00:00,130.39999999999998,41.3,239.0,4.1,11.9,135.5,35.45,38.5,-0.5,35.4,1005.3,16.3,260,147.35,15,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,147.35,144.98704437630178
2025-04-20 16:00:00,130.39999999999998,41.9,245.0,5.7,12.9,135.5,35.45,38.5,-0.4,33.7,1005.2,16.9,263,147.35,16,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,147.35,145.1260417659311
2025-04-20 17:00:00,130.39999999999998,37.8,291.0,11.2,13.9,128.0,35.45,38.5,-0.2,32.1,1005.3,16.2,267,147.35,17,20,4,2025,6,1,0.0,0.0,147.35,147.35,147.35,147.35,147.35,145.24959500115713
2025-04-20 18:00:00,130.39999999999998,41.3,424.0,18.5,13.7,112.0,33.5,38.5,10.4,31.6,1006.1,13.3,249,135.35100671140938,18,20,4,2025,6,1,-11.998993288590611,-0.0814319191624745,147.35,147.35,147.35,143.3503355704698,145.3501677852349,144.72861667011776
2025-04-20 19:00:00,130.39999999999998,43.7,556.0,28.4,13.3,89.0,30.0,49.0,18.1,31.0,1006.6,12.8,236,123.59060402684564,19,20,4,2025,6,1,-11.760402684563743,-0.08688818037119483,135.35100671140938,147.35,147.35,135.43053691275165,141.39026845637582,143.67171603795418
2025-04-20 20:00:00,130.39999999999998,44.25,556.0,34.4,12.7,73.0,29.1,51.0,17.9,30.1,1007.1,12.1,243,122.39463087248322,20,20,4,2025,6,1,-1.1959731543624201,-0.009676893836546352,123.59060402684564,135.35100671140938,147.35,127.11208053691274,137.23104026845638,142.6585215062651
2025-04-20 21:00:00,130.39999999999998,44.25,556.0,33.1,11.8,68.0,28.8,50.0,17.3,29.7,1007.7,11.1,245,121.13221476510068,21,20,4,2025,6,1,-1.2624161073825348,-0.010314309527987287,122.39463087248322,123.59060402684564,135.35100671140938,122.37248322147651,132.86140939597314,141.68005301803035
2025-04-20 22:00:00,130.39999999999998,44.25,556.0,27.9,10.8,69.0,28.4,51.0,17.2,29.4,1008.1,10.6,256,121.13221476510068,22,20,4,2025,6,1,0.0,0.0,121.13221476510068,122.39463087248322,123.59060402684564,121.55302013422819,128.49177852348996,140.78666874616383
2025-04-20 23:00:00,125.3,44.0,526.0,22.8,9.8,71.0,27.6,57.0,18.3,28.7,1008.7,12.8,304,117.14563758389261,23,20,4,2025,6,1,-3.9865771812080766,-0.03291095757589213,121.13221476510068,121.13221476510068,122.39463087248322,119.80335570469799,123.45771812080538,139.8016257810692
2025-04-21 00:00:00,116.9,42.6,418.0,19.0,8.9,71.0,27.1,61.0,18.9,28.7,1008.3,11.7,291,111.56442953020135,0,21,4,2025,0,0,-5.581208053691256,-0.04764332815803174,117.14563758389261,121.13221476510068,121.13221476510068,116.61409395973153,119.49328859060404,139.175
2025-04-21 01:00:00,115.5,42.3,294.0,15.3,8.0,72.0,26.5,63.0,18.9,28.1,1008.0,12.0,303,110.63422818791946,1,21,4,2025,0,0,-0.9302013422818902,-0.008337794996119974,111.56442953020135,117.14563758389261,121.13221476510068,113.11476510067114,117.33389261744968,137.64517617449664
2025-04-21 02:00:00,116.4,42.1,209.0,12.5,7.5,72.0,26.0,65.0,18.9,27.7,1007.5,11.2,308,111.23221476510068,2,21,4,2025,0,0,0.5979865771812172,0.005405077497042665,110.63422818791946,111.56442953020135,117.14563758389261,111.14362416107383,115.47348993288591,136.14026845637582
2025-04-21 03:00:00,124.3,42.6,163.0,10.1,7.3,71.0,26.0,62.0,18.1,27.21250000000001,1007.3,11.3,303,116.48120805369128,3,21,4,2025,0,0,5.248993288590597,0.04718950620263551,111.23221476510068,110.63422818791946,111.56442953020135,112.78255033557048,114.69832214765101,134.8540687919463
2025-04-21 04:00:00,130.39999999999998,43.0,155.0,8.6,7.5,70.0,26.1,57.0,16.8,27.21250000000001,1007.2,11.3,295,121.46442953020136,4,21,4,2025,0,0,4.9832214765100815,0.04278133408620821,116.48120805369128,111.23221476510068,110.63422818791946,116.39261744966444,114.75369127516778,133.7755033557047
2025-04-21 05:00:00,130.39999999999998,44.0,245.0,7.8,7.2,73.0,25.6,58.0,16.7,27.21250000000001,1007.5,9.4,312,128.5738255033557,5,21,4,2025,0,0,7.109395973154335,0.05853068260931993,121.46442953020136,116.48120805369128,111.23221476510068,122.1731543624161,116.65838926174496,132.99316275167786
2025-04-21 06:00:00,130.39999999999998,44.25,546.0,14.4,8.6,66.0,25.2,69.0,19.2,27.5,1008.0,8.2,302,128.5738255033557,6,21,4,2025,0,0,0.0,0.0,128.5738255033557,121.46442953020136,116.48120805369128,126.20402684563759,119.49328859060402,132.210822147651
2025-04-21 07:00:00,130.39999999999998,44.25,556.0,23.2,10.8,57.0,25.3,69.0,19.3,27.8,1008.8,6.9,311,129.50402684563758,7,21,4,2025,0,0,0.9302013422818902,0.007234764452564324,128.5738255033557,128.5738255033557,121.46442953020136,128.88389261744965,122.63825503355706,131.60453020134227
2025-04-21 08:00:00,130.39999999999998,44.25,556.0,28.1,13.9,60.0,27.1,58.0,18.2,29.5,1009.8,4.0,330,135.68322147651006,8,21,4,2025,0,0,6.179194630872473,0.047714304963178966,129.50402684563758,128.5738255033557,128.5738255033557,131.25369127516777,126.71342281879193,131.50209731543626
2025-04-21 09:00:00,130.39999999999998,44.25,556.0,25.4,19.2,85.0,30.5,38.5,13.3,30.9,1010.4,4.3,345,147.35,9,21,4,2025,0,0,11.666778523489938,0.08598541806814142,135.68322147651006,129.50402684563758,128.5738255033557,137.51241610738256,131.85822147651007,131.69198825503355
2025-04-21 10:00:00,130.39999999999998,44.25,556.0,18.7,23.950000000000003,122.0,33.8,38.5,6.1,33.2,1010.6,3.0,346,147.35,10,21,4,2025,0,0,0.0,0.0,147.35,135.68322147651006,129.50402684563758,143.46107382550335,136.1724832214765,131.69198825503355
2025-04-21 11:00:00,130.39999999999998,44.25,363.0,12.8,23.950000000000003,135.5,35.45,38.5,0.2,35.3,1010.5,2.7,212,147.35,11,21,4,2025,0,0,0.0,0.0,147.35,147.35,135.68322147651006,147.35,139.3018456375839,131.69198825503355
2025-04-21 12:00:00,130.39999999999998,44.25,269.0,8.9,23.950000000000003,135.5,35.45,38.5,-0.8,36.1,1010.1,6.7,214,147.35,12,21,4,2025,0,0,0.0,0.0,147.35,147.35,147.35,147.35,142.43120805369128,131.69198825503358
2025-04-21 13:00:00,130.39999999999998,43.0,250.0,5.9,23.950000000000003,135.5,35.45,38.5,-0.8,36.7,1009.4,9.6,232,147.35,13,21,4,2025,0,0,0.0,0.0,147.35,147.35,147.35,147.35,145.40553691275167,131.69198825503355
2025-04-21 14:00:00,130.39999999999998,40.9,257.0,4.7,21.4,135.5,35.45,38.5,-1.2,36.1,1008.7,13.5,254,147.35,14,21,4,2025,0,0,0.0,0.0,147.35,147.35,147.35,147.35,147.35,131.69198825503355
2025-04-21 15:00:00,130.39999999999998,43.8,275.0,5.9,20.3,135.5,35.45,38.5,4.6,34.7,1008.3,17.5,253,147.35,15,21,4,2025,0,0,0.0,0.0,147.35,147.35,147.35,147.35,147.35,131.69198825503355
2025-04-21 16:00:00,130.39999999999998,44.25,319.0,9.0,19.8,135.5,35.0,38.5,9.7,32.9,1008.0,18.1,246,147.35,16,21,4,2025,0,0,0.0,0.0,147.35,147.35,147.35,147.35,147.35,131.69198825503355
2025-04-21 17:00:00,128.5,44.2,378.0,13.4,20.1,135.5,33.4,38.5,13.3,32.2,1008.2,15.1,243,147.35,17,21,4,2025,0,0,0.0,0.0,147.35,147.35,147.35,147.35,147.35,131.69198825503358
2025-04-21 18:00:00,110.4,43.0,468.0,20.4,18.3,118.0,31.2,46.0,18.3,32.3,1009.1,12.6,232,126.11940298507463,18,21,4,2025,0,0,-21.230597014925365,-0.14408277580539786,147.35,147.35,147.35,140.2731343283582,143.8115671641791,131.30733809976962
2025-04-21 19:00:00,95.5,43.1,556.0,30.1,15.8,88.0,29.5,57.0,19.9,31.8,1009.7,10.1,231,95.5,19,21,4,2025,0,0,-30.61940298507463,-0.2427810650887574,126.11940298507463,147.35,147.35,122.98980099502488,135.16990049751243,130.1368962653177
2025-04-21 20:00:00,92.7,41.8,556.0,36.6,13.8,66.0,28.7,60.0,20.3,31.3,1010.2,9.7,246,92.7,20,21,4,2025,0,0,-2.799999999999997,-0.029319371727748678,95.5,126.11940298507463,147.35,104.77313432835821,126.0615671641791,128.89961997896424
2025-04-21 21:00:00,92.0,41.4,556.0,37.25,12.9,58.0,28.2,64.0,20.8,30.9,1010.6,10.9,257,92.0,21,21,4,2025,0,0,-0.7000000000000028,-0.007551240560949357,92.7,95.5,126.11940298507463,93.39999999999999,116.83656716417909,127.68577769708503
2025-04-21 22:00:00,93.4,41.8,556.0,34.8,12.6,57.0,28.0,62.0,20.1,30.3,1010.8,10.7,276,93.4,22,21,4,2025,0,0,1.4000000000000057,0.01521739130434785,92.0,92.7,95.5,92.7,107.84490049751246,126.53026874853919
2025-04-21 23:00:00,96.9,42.7,543.0,31.9,12.3,57.0,27.3,66.0,20.3,30.0,1011.3,8.8,311,96.9,23,21,4,2025,0,0,3.5,0.03747323340471098,93.4,92.0,92.7,94.10000000000001,99.43656716417911,125.68670051587698
2025-04-22 00:00:00,95.9,43.8,450.0,29.1,12.0,57.0,26.5,72.0,21.0,29.8,1011.3,7.2,338,95.9,0,22,4,2025,1,0,-1.0,-0.01031991744066052,96.9,93.4,92.0,95.40000000000002,94.39999999999999,125.0340159521186
2025-04-22 01:00:00,88.9,41.8,334.0,25.9,11.7,57.0,26.1,74.0,21.0,29.5,1010.9,6.2,348,88.9,1,22,4,2025,1,0,-7.0,-0.07299270072992703,95.9,96.9,93.4,93.89999999999999,93.3,124.1284231109553
2025-04-22 02:00:00,86.4,39.5,251.0,22.6,11.4,59.0,25.7,74.0,20.8,29.1,1010.6,5.6,295,86.4,2,22,4,2025,1,0,-2.5,-0.028121484814398245,88.9,95.9,96.9,90.40000000000002,92.25,123.09374749574276
2025-04-22 03:00:00,84.8,37.5,197.0,18.7,10.9,62.0,25.4,75.0,20.6,28.6,1010.1,6.8,270,84.8,3,22,4,2025,1,0,-1.6000000000000085,-0.0185185185185186,86.4,88.9,95.9,86.7,91.05,121.77369716017229
2025-04-22 04:00:00,85.0,35.9,174.0,14.8,10.5,66.0,25.4,73.0,20.3,28.2,1010.0,8.6,281,85.0,4,22,4,2025,1,0,0.20000000000000284,0.002358490566037874,84.8,86.4,88.9,85.40000000000002,89.65000000000002,120.25434592974723
2025-04-22 05:00:00,84.1,34.0,245.0,11.5,9.3,70.0,25.6,71.0,20.0,28.0,1010.2,9.7,282,84.1,5,22,4,2025,1,0,-0.9000000000000057,-0.010588235294117676,85.0,84.8,86.4,84.63333333333333,87.51666666666667,118.40126986710742
2025-04-22 06:00:00,82.9,34.3,503.0,16.7,10.1,66.0,25.2,75.0,20.5,28.3,1010.7,6.8,297,82.9,6,22,4,2025,1,0,-1.1999999999999886,-0.014268727705112783,84.1,85.0,84.8,84.0,85.35000000000001,116.49819380446759
2025-04-22 07:00:00,79.9,37.5,556.0,23.6,11.5,62.0,25.0,77.0,20.8,28.5,1011.4,4.9,332,79.9,7,22,4,2025,1,0,-3.0,-0.03618817852834744,82.9,84.1,85.0,82.3,83.85000000000001,114.43135935256602
2025-04-22 08:00:00,82.4,38.0,556.0,27.2,13.9,67.0,26.3,72.0,20.9,30.3,1012.1,2.2,9,82.4,8,22,4,2025,1,0,2.5,0.031289111389236623,79.9,82.9,84.1,81.73333333333333,83.18333333333334,112.21122512437812
2025-04-22 09:00:00,92.7,37.6,556.0,24.6,18.5,91.0,28.8,59.0,20.0,32.5,1012.6,1.0,31,92.7,9,22,4,2025,1,0,10.299999999999997,0.125,82.4,79.9,82.9,85.0,84.5,109.93414179104478
2025-04-22 10:00:00,110.8,38.3,556.0,18.8,23.950000000000003,125.0,31.7,44.0,17.8,35.2,1012.5,0.4,27,136.46268656716418,10,22,4,2025,1,0,43.76268656716418,0.4720893912315445,92.7,82.4,79.9,103.85422885572139,93.07711442786069,109.48050373134329
2025-04-22 11:00:00,125.3,39.2,556.0,13.5,23.950000000000003,135.5,34.4,38.5,15.1,37.7,1012.2,1.8,191,147.35,11,22,4,2025,1,0,10.88731343283581,0.07978234715082566,136.46268656716418,92.7,82.4,125.50422885572141,103.61878109452736,109.48050373134329
2025-04-22 12:00:00,129.9,39.3,556.0,9.7,23.950000000000003,135.5,35.45,38.5,15.6,38.8,1011.5,6.8,197,147.35,12,22,4,2025,1,0,0.0,0.0,147.35,136.46268656716418,92.7,143.72089552238808,114.36044776119404,109.48050373134328
2025-04-22 13:00:00,123.9,36.8,505.0,6.4,23.950000000000003,135.5,35.2,41.0,19.9,39.6,1010.7,11.9,203,147.35,13,22,4,2025,1,0,0.0,0.0,147.35,147.35,136.46268656716418,147.35,125.60211442786071,109.48050373134328
2025-04-22 14:00:00,110.4,33.5,427.0,5.1,23.950000000000003,135.5,35.45,38.5,17.2,38.1,1010.1,13.7,212,147.35,14,22,4,2025,1,0,0.0,0.0,147.35,147.35,147.35,147.35,136.4271144278607,109.48050373134328
2025-04-22 15:00:00,98.3,30.9,397.0,6.4,23.5,135.5,35.45,38.5,11.1,35.5,1009.4,14.0,226,147.35,15,22,4,2025,1,0,0.0,0.0,147.35,147.35,147.35,147.35,145.53544776119404,109.48050373134329
2025-04-22 16:00:00,86.8,27.8,399.0,9.7,20.5,135.5,35.0,38.5,11.1,34.0,1009.0,13.5,232,147.35,16,22,4,2025,1,0,0.0,0.0,147.35,147.35,147.35,147.35,147.35,109.48050373134329
2025-04-22 17:00:00,81.3,27.4,418.0,13.8,18.2,130.0,33.2,38.5,14.4,32.8,1008.8,12.4,234,143.85074626865674,17,22,4,2025,1,0,-3.4992537313432592,-0.02374790452218023,147.35,147.35,147.35,146.18358208955223,146.7667910447761,109.3347014925373
2025-04-22 18:00:00,72.2,27.1,457.0,20.2,16.2,109.0,30.7,54.0,20.5,33.1,1009.8,11.8,231,112.82089552238806,18,22,4,2025,1,0,-31.02985074626868,-0.21570865324756183,143.85074626865674,147.35,147.35,134.67388059701494,141.01194029850745,108.78059701492538
